DEBUG:root:Initialization
INFO:absl:Creating mfg_crowd_modelling_2d game with parameters: {'forbidden_states': '[0|0;1|0;2|0;3|0;4|0;5|0;6|0;7|0;8|0;9|0;10|0;11|0;12|0;0|1;6|1;12|1;0|2;6|2;12|2;0|3;12|3;0|4;6|4;12|4;0|5;6|5;12|5;0|6;1|6;2|6;4|6;5|6;6|6;7|6;8|6;10|6;11|6;12|6;0|7;6|7;12|7;0|8;6|8;12|8;0|9;12|9;0|10;6|10;12|10;0|11;6|11;12|11;0|12;1|12;2|12;3|12;4|12;5|12;6|12;7|12;8|12;9|12;10|12;11|12;12|12]', 'horizon': 40, 'initial_distribution': '[1|1]', 'initial_distribution_value': '[1.0]', 'size': 13, 'only_distribution_reward': True}
INFO:absl:Using game instance: mfg_crowd_modelling_2d
DEBUG:root:ppo_br: 171.57816004731416, and nash_conv: 19.3006059830756, reward: 165.0106447299691, entropy: 1.1324987502985222
DEBUG:root:ppo_br: 171.44933247944232, and nash_conv: 24.756222770664777, reward: 165.0326017643855, entropy: 1.131177853001998
DEBUG:root:ppo_br: 170.93202928808904, and nash_conv: 21.873913627618293, reward: 165.0505463205585, entropy: 1.129830976183178
DEBUG:root:ppo_br: 171.21948084811032, and nash_conv: 24.009619927406817, reward: 165.0679649029356, entropy: 1.1287934975190597
DEBUG:root:ppo_br: 171.7268327273319, and nash_conv: 17.487186959438816, reward: 165.07659984158394, entropy: 1.1276031390840846
DEBUG:root:ppo_br: 171.67570586651146, and nash_conv: 17.336614439393088, reward: 165.08754579458665, entropy: 1.126660430520328
DEBUG:root:ppo_br: 171.05445382016197, and nash_conv: 22.4772502929234, reward: 165.09921110930267, entropy: 1.125955743546839
DEBUG:root:ppo_br: 171.7839322698542, and nash_conv: 16.699447652761364, reward: 165.11005161509794, entropy: 1.1252189504311365
DEBUG:root:ppo_br: 171.65568346063384, and nash_conv: 17.905128299932016, reward: 165.12351740704838, entropy: 1.1242598891910844
DEBUG:root:ppo_br: 171.62816831015212, and nash_conv: 16.74691696359534, reward: 165.1328794750269, entropy: 1.123601929238741
DEBUG:root:ppo_br: 171.71392232634963, and nash_conv: 18.021281995862353, reward: 165.1398617795217, entropy: 1.1227364263731798
DEBUG:root:ppo_br: 171.13355554597504, and nash_conv: 21.41014205358931, reward: 165.14981001063754, entropy: 1.1215037815272808
DEBUG:root:ppo_br: 171.44033315343725, and nash_conv: 20.558507469552268, reward: 165.15580473771334, entropy: 1.1205524116754533
DEBUG:root:ppo_br: 171.23859313617118, and nash_conv: 24.617507184009128, reward: 165.15689474616252, entropy: 1.1195893779816761
